Jahr;Herkunftsland/Zielland;Baden-Württemberg;Bayern;Berlin;Branden-burg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Nieder-sachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Saldo Ausland
2000;Baden-Württemberg;0;3054;168;-2846;-176;558;-54;-1064;-8659;-2386;189;-493;-7163;-4143;-630;-2873;-11120
2000;Bayern;-3054;0;-1056;-3688;-125;-44;-2558;-1376;-13324;-4610;-1185;-391;-10707;-5074;-245;-4712;-21220
2000;Berlin;-168;1056;0;17146;-278;-571;-441;-998;-2698;-3830;-210;-143;-1242;-1322;98;-580;-4962
2000;Brandenburg;2846;3688;-17146;0;188;705;768;308;-517;1997;659;22;547;-233;668;67;-2942
2000;Bremen;176;125;278;-188;0;402;55;-295;2494;-9;3;-28;-105;-216;-129;-46;-1245
2000;Hamburg;-558;44;571;-705;-402;0;-669;-3255;-1233;-2028;-242;-81;-480;-444;4244;-218;-7249
2000;Hessen;54;2558;441;-768;-55;669;0;-505;-6784;-1306;1569;-261;-2525;-1870;513;-2157;-7264
2000;Mecklenburg-Vorpommern;1064;1376;998;-308;295;3255;505;0;897;1441;358;0;-29;-410;2900;-71;-2793
2000;Niedersachsen;8659;13324;2698;517;-2494;1233;6784;-897;0;19004;3548;781;3718;-2173;2400;1940;-89940
2000;Nordrhein-Westfalen;2386;4610;3830;-1997;9;2028;1306;-1441;-19004;0;1720;-446;-3628;-3904;860;-1827;-7159
2000;Rheinland-Pfalz;-189;1185;210;-659;-3;242;-1569;-358;-3548;-1720;0;-441;-1228;-960;-15;-650;1657
2000;Saarland;493;391;143;-22;28;81;261;0;-781;446;441;0;-109;-69;-7;-33;-1993
2000;Sachsen;7163;10707;1242;-547;105;480;2525;29;-3718;3628;1228;109;0;-1689;392;-772;-3996
2000;Sachsen-Anhalt;4143;5074;1322;233;216;444;1870;410;2173;3904;960;69;1689;0;557;562;-1716
2000;Schleswig-Holstein;630;245;-98;-668;129;-4244;-513;-2900;-2400;-860;15;7;-392;-557;0;-231;-3550
2000;Thüringen;2873;4712;580;-67;46;218;2157;71;-1940;1827;650;33;772;-562;231;0;-1628
2000;Ausland;11120;21220;4962;2942;1245;7249;7264;2793;89940;7159;-1657;1993;3996;1716;3550;1628;0
