Jahr;Herkunftsland/Zielland;Baden-Württemberg;Bayern;Berlin;Branden-burg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Nieder-sachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Saldo Ausland
2004;Baden-Württemberg;0;634;-796;-2265;-46;393;-986;-815;-8068;-1454;302;-217;-4099;-2261;-181;-2196;1990
2004;Bayern;-634;0;-523;-1799;32;431;-900;-746;-9304;-1612;-90;-145;-4726;-2350;-272;-3057;-57
2004;Berlin;796;523;0;11122;9;223;74;-706;-1274;-248;106;67;-744;-979;578;-414;-10819
2004;Brandenburg;2265;1799;-11122;0;184;994;811;578;-310;2031;511;71;528;116;723;79;-66
2004;Bremen;46;-32;-9;-184;0;248;-67;-270;-5;-122;-34;-64;-99;-245;-188;-105;-1311
2004;Hamburg;-393;-431;-223;-994;-248;0;-688;-3269;-838;-1717;-211;-32;-512;-559;3731;-322;4255
2004;Hessen;986;900;-74;-811;67;688;0;-366;-3987;86;1763;-48;-1639;-1130;248;-1888;-7130
2004;Mecklenburg-Vorpommern;815;746;706;-578;270;3269;366;0;433;970;255;-7;-138;-274;2213;-195;-267
2004;Niedersachsen;8068;9304;1274;310;5;838;3987;-433;0;12638;2768;760;2619;-2001;1884;902;-62523
2004;Nordrhein-Westfalen;1454;1612;248;-2031;122;1717;-86;-970;-12638;0;672;-404;-2234;-2541;1120;-1582;-6347
2004;Rheinland-Pfalz;-302;90;-106;-511;34;211;-1763;-255;-2768;-672;0;-188;-754;-656;-35;-430;-2340
2004;Saarland;217;145;-67;-71;64;32;48;7;-760;404;188;0;-100;-78;1;-73;664
2004;Sachsen;4099;4726;744;-528;99;512;1639;138;-2619;2234;754;100;0;-1508;354;-875;275
2004;Sachsen-Anhalt;2261;2350;979;-116;245;559;1130;274;2001;2541;656;78;1508;0;536;170;1661
2004;Schleswig-Holstein;181;272;-578;-723;188;-3731;-248;-2213;-1884;-1120;35;-1;-354;-536;0;-260;-181
2004;Thüringen;2196;3057;414;-79;105;322;1888;195;-902;1582;430;73;875;-170;260;0;-347
2004;Ausland;-1990;57;10819;66;1311;-4255;7130;267;62523;6347;2340;-664;-275;-1661;181;347;0
