Jahr;Herkunftsland/Zielland;Baden-Württemberg;Bayern;Berlin;Branden-burg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Nieder-sachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Saldo Ausland
2008;Baden-Württemberg;0;3384;1231;-1281;-235;868;-407;-692;-2759;-4425;-1070;-621;-3053;-1715;-69;-1994;8433
2008;Bayern;-3384;0;894;-1491;-311;425;-1970;-799;-2487;-4641;-1332;-530;-4622;-2208;-73;-3620;12102
2008;Berlin;-1231;-894;0;3297;-273;-303;-832;-1740;-1787;-3226;-775;-104;-2132;-1840;-162;-955;-2352
2008;Brandenburg;1281;1491;-3297;0;109;764;385;474;686;726;172;28;840;-225;643;25;1178
2008;Bremen;235;311;273;-109;0;499;100;-275;-548;-165;-31;-9;-123;-131;-156;-92;-338
2008;Hamburg;-868;-425;303;-764;-499;0;-635;-3463;-1968;-2773;-388;-92;-775;-905;2491;-436;9447
2008;Hessen;407;1970;832;-385;-100;635;0;-371;-1012;-1873;-978;-270;-1179;-1180;398;-1659;6176
2008;Mecklenburg-Vorpommern;692;799;1740;-474;275;3463;371;0;1516;569;143;-6;162;-391;1880;-167;40
2008;Niedersachsen;2759;2487;1787;-686;548;1968;1012;-1516;0;36;249;12;-401;-3137;873;-699;-950
2008;Nordrhein-Westfalen;4425;4641;3226;-726;165;2773;1873;-569;-36;0;-933;-237;-1856;-1778;1436;-1241;12747
2008;Rheinland-Pfalz;1070;1332;775;-172;31;388;978;-143;-249;933;0;138;-432;-392;233;-342;2499
2008;Saarland;621;530;104;-28;9;92;270;6;-12;237;-138;0;12;12;18;5;-854
2008;Sachsen;3053;4622;2132;-840;123;775;1179;-162;401;1856;432;-12;0;-2275;390;-1092;1938
2008;Sachsen-Anhalt;1715;2208;1840;225;131;905;1180;391;3137;1778;392;-12;2275;0;466;638;1298
2008;Schleswig-Holstein;69;73;162;-643;156;-2491;-398;-1880;-873;-1436;-233;-18;-390;-466;0;-224;3539
2008;Thüringen;1994;3620;955;-25;92;436;1659;167;699;1241;342;-5;1092;-638;224;0;840
2008;Ausland;-8433;-12102;2352;-1178;338;-9447;-6176;-40;950;-12747;-2499;854;-1938;-1298;-3539;-840;0
